Mã,Năm,current_ratio,cash_ratio,nwc_to_ta,debt_to_ta,debt_to_equity,short_term_debt_share,asset_turnover,receivables_to_revenue,inventory_to_revenue,cluster,cluster_agg,npm,risk_level,risk_prev,npm_prev,alert_level,delta_npm
AAA,2020,-0.3849723572058181,-0.1597610825476227,-0.6141867416371748,0.26198351277838083,-0.12849131350593782,0.23467261602781006,-0.04646627483382363,-0.010634776327632009,-0.11030036751170293,6,1,0.038119490784755426,Medium,,,Green,
AAA,2021,-0.23631578631588845,0.22995783509580253,-0.16233304227488923,-0.058267496985575554,-0.11955955155120249,-0.19543973005527848,0.4780780174999049,-0.06857746183236327,-0.08538748898268758,6,1,0.02466258197436425,Medium,Medium,0.038119490784755426,Green,-0.013456908810391178
AAA,2022,-0.25226386817915664,0.20934838322503635,-0.13358081269589878,-0.10435444934422543,-0.3426813928838731,-0.3725815402660373,0.4033285284147394,-0.1042265449629342,-0.08154122449657625,1,1,0.007670960699870806,Low,Medium,0.02466258197436425,Green,-0.01699162127449344
AAA,2023,-0.2678796435564057,0.3439754621214346,-0.3641718805438959,0.16250729567147168,-0.13161466738950495,-0.4718054652693295,0.24480598906569329,-0.09996863487720738,-0.10364354117585796,6,1,0.024497363753918956,Medium,Low,0.007670960699870806,Yellow,0.01682640305404815
AAA,2024,-0.25044592666498716,0.12000949100517848,-0.3347134752734258,0.43286604840220927,-0.005332705541030138,-0.969677521279958,0.05545098855911378,-0.06857746183236327,-0.08388451189669618,1,1,0.02426210827487244,Low,Medium,0.024497363753918956,Green,-0.00023525547904651792
AAM,2020,2.8158527897869114,1.7119386530646927,2.4233917226522625,-1.8759150140959242,-0.6335241836182591,0.6245125252740773,-0.36282270264442684,-0.02091299839245759,0.01934577039688663,5,2,-0.09899652664862166,Low,,,Green,
AAM,2021,5.379115222029754,12.096282506144282,2.4205505725763787,-2.112219486352845,-0.24534366944354094,0.19183054600453497,-0.23907531091150963,-0.06857746183236327,-0.08538748898268758,5,0,0.0016815263419892126,Low,Low,-0.09899652664862166,Green,0.10067805299061088
AAM,2022,4.184857793918118,1.279425147994022,2.283923157597493,-1.8768418384936254,-0.8537385617147433,0.3865501917690316,-0.0014585583642058027,-0.10750916385426694,-0.05796862593775524,5,0,0.07971288481301579,Low,Low,0.0016815263419892126,Green,0.07803135847102657
AAM,2023,2.4264143536031826,2.7941819754151407,2.1672182275980223,-1.8211012284685852,-0.41070884246386963,0.4502257856403589,-0.21191439179192992,-0.09968448042821505,-0.05453688533025695,5,0,0.005141369556132483,Low,Low,0.07971288481301579,Red,-0.07457151525688331
AAM,2024,4.263142191590836,11.104857627186721,2.182294465308017,-1.8617830288004258,-0.766860037283359,0.1673011658633101,-0.11570256681801812,-0.06857746183236327,-0.06507663887108274,5,0,-0.04112738544853673,Low,Low,0.005141369556132483,Yellow,-0.04626875500466921
AAT,2020,-0.16400028693481747,-0.21369631519014018,-0.3624312323200474,-0.9855348334150669,-0.4987471726349507,-0.7067795169052479,-0.44723169123655376,0.01974237475473274,-0.12058884856791725,1,2,0.04889766639257712,Low,,,Green,
AAT,2021,0.033604260395461535,0.45597059774430737,-0.04605248518124089,-0.7397320097060578,-0.17845648577174503,-1.5378106942935397,-0.44154407383288136,-0.06857746183236327,-0.08538748898268758,1,4,0.06089429161846622,Low,Low,0.04889766639257712,Green,0.011996625225889096
AAT,2022,-0.1845085613210987,-0.3923224422966912,-0.16727457677025115,-0.6665307790490043,-0.5664592622669298,-0.5067580580147588,-0.053234549777233776,-0.08028550014976037,-0.08818319304643157,1,1,0.09258085153331294,Low,Low,0.06089429161846622,Green,0.03168655991484672
AAT,2023,-0.18568934050462474,-0.5067347225918986,-0.07338501540350024,-0.6762121633905213,-0.29217413194653025,-0.12892527432782525,-0.26286544953767443,-0.07035069961666068,-0.10454348855753398,0,1,-0.004115387693039042,Medium,Low,0.09258085153331294,Yellow,-0.09669623922635198
AAT,2024,-0.1394591571616573,-0.36766925666471106,-0.27200639922293995,-0.012299897266850318,-0.2641821237614998,-1.8783202589030217,-0.43315306367665024,-0.06857746183236327,-0.087187208818718,1,4,-0.0007642250350895692,Low,Medium,-0.004115387693039042,Green,0.0033511626579494727
ABR,2020,0.7286156136923865,2.4287350113340964,1.5569585727947124,-1.4798645996907391,-0.5810440726667424,0.6608531254819824,-0.6059483165346503,-0.01220755284691846,-0.12710439784233063,0,2,0.25166980067479594,Medium,,,Green,
ABR,2021,0.34040242847772356,0.5994948021784908,1.545808768465788,-1.3911056662780323,-0.2159400578933655,0.6182213817659258,-0.6555656346574031,-0.06857746183236327,-0.08538748898268758,0,2,0.21200093702476636,Medium,Medium,0.25166980067479594,Yellow,-0.039668863650029584
ABR,2022,-0.12299440828030742,-0.13783294647648897,0.20023512660869983,-0.9953842012624229,-0.6641229709550651,0.6726236583792334,-0.6271851452032132,-0.07238461483348786,-0.08887327985707552,0,2,0.28211887024885135,Medium,Medium,0.21200093702476636,Green,0.070117933224085
ABR,2023,0.028298843841969658,-0.4307491897759525,0.279657664830252,-1.2362657299708524,-0.35923752426306454,-0.14971574635850807,-0.7254870557931833,-0.06828113026017119,-0.10714474668155316,0,2,0.5772110345917107,Medium,Medium,0.28211887024885135,Green,0.2950921643428594
ABR,2024,-0.1404709926070372,-0.34399663816883874,-0.2900815311788731,-1.241975187303127,-0.654556812039651,0.08501408379174699,-0.7985881887874215,-0.06857746183236327,-0.08808192934422837,0,2,0.6725353241892694,Medium,Medium,0.5772110345917107,Green,0.09532428959755868
ABS,2020,-0.38976155831305986,-0.48764501165645796,-0.49037021346850257,0.7243399450924821,0.1418256792732168,0.913931490852809,0.036125019756761786,0.058017905287968755,-0.12879373950197598,6,1,0.04339787545814593,Medium,,,Green,
ABS,2021,-0.17701869666010084,-0.4464760350265395,0.6429453430888824,-0.2368565654195214,-0.1377330881027088,0.8901970326927624,-0.14412539281694084,-0.06857746183236327,-0.08538748898268758,0,2,0.05452119702358283,Medium,Medium,0.04339787545814593,Green,0.011123321565436897
ABS,2022,-0.24909329540777325,-0.48799517876279375,0.4192984365766481,0.028782257363832973,-0.2748567127801794,0.8838435200704655,-0.008926642010806425,-0.06568317932479469,-0.08892708086496343,0,2,0.014040478253739665,Medium,Medium,0.05452119702358283,Yellow,-0.04048071876984317
ABS,2023,-0.2419544490693019,-0.5152683059745865,0.14483755746292656,-0.12740835636656306,-0.19871178828198627,0.8656453700672184,-0.20508079730596998,-0.051047111248078196,-0.10693847883257307,0,2,0.008083132728746998,Medium,Medium,0.014040478253739665,Green,-0.005957345524992667
ABS,2024,1.1010912015256678,-0.4236096508095628,2.4524433652060345,-1.6152045832688897,-0.7262874808237425,0.8547254888493495,-0.47875249032749434,-0.06857746183236327,-0.08789421130290276,0,2,0.006460836071562328,Medium,Medium,0.008083132728746998,Green,-0.00162229665718467
ABT,2020,-0.11883276253387656,0.08164995855325163,0.10281516467748664,-1.0924837616556196,-0.5184789658870135,0.7784501045269737,-0.350212394894366,-0.023783131809257795,-0.05609209022239909,0,2,0.044915439894409465,Medium,,,Green,
ABT,2021,-0.21798764567274995,-0.005105276383045785,-0.15633123104750024,-0.8353982532438441,-0.184852834419757,0.8000639272497376,-0.3412164029234002,-0.06857746183236327,-0.08538748898268758,0,2,0.09891252030493684,Medium,Medium,0.044915439894409465,Green,0.05399708041052738
ABT,2022,-0.1972209781943503,0.686468015132299,-0.06165155903063683,-0.9506453122918729,-0.6519259471609913,0.7929212161724987,0.017210109530238552,-0.10666811671173944,-0.07776094221676674,0,2,0.10425725387170147,Medium,Medium,0.09891252030493684,Green,0.005344733566764626
ABT,2023,-0.17170788485493166,-0.4257670579771755,0.09018189371204581,-0.920425219743742,-0.3241184906483173,0.7936485433364474,-0.03291600295369401,-0.09652599009924201,-0.09742134535588837,0,2,0.1199096929168087,Medium,Medium,0.10425725387170147,Green,0.015652439045107228
ABT,2024,-0.198129060524386,-0.19034460790562407,0.0940208788054619,-0.6896636803164796,-0.5170854175265797,0.8311655985719945,-0.1272589172678239,-0.06857746183236327,-0.08055675636727244,0,2,0.14240260120068793,Medium,Medium,0.1199096929168087,Green,0.02249290828387923
ACC,2020,-0.08147660150729144,0.23791755258633557,1.0831122020934643,-0.142907044910585,-0.2871583717224693,0.5075857142627149,-0.4084808772049752,0.016563823302270513,-0.019386314220706146,0,2,0.1341224395745934,Medium,,,Green,
ACC,2021,-0.20066488157942483,-0.22019535633254425,0.2883747869995752,0.6278352981338121,-0.019087488887027656,-0.5126996244599313,-0.6460181026772995,-0.06857746183236327,-0.08538748898268758,1,4,0.10905800186465957,Low,Medium,0.1341224395745934,Yellow,-0.025064437709933843
ACC,2022,-0.1675807746781289,-0.32068709933703143,0.9687944140482929,-0.13890771424731105,-0.3591713066739052,0.8371490615101339,-0.6036569059531398,-0.012876031521448153,0.002968739934532977,0,2,0.1270467038000178,Medium,Low,0.10905800186465957,Yellow,0.017988701935358245
ACC,2023,-0.19686680239215254,-0.48978208516058286,0.4762941962407013,0.019610743807606117,-0.16664726792254728,0.185735566406171,-0.5852546370756657,-0.05191617356662074,-0.019819201356927482,0,1,0.1076668801946946,Medium,Medium,0.1270467038000178,Green,-0.019379823605323213
ACC,2024,-0.31021023919766466,-0.39394945064908593,-0.6917869676068478,0.46039554103727903,0.01448396584619903,0.49663406530681564,-0.6385310533262094,-0.06857746183236327,-0.031622904471572295,6,1,0.07530382096906206,Medium,Medium,0.1076668801946946,Yellow,-0.03236305922563254
ACG,2020,0.48131073958203924,-0.4176611323083334,1.7648195781710638,-1.2551779971570758,-0.5463329404103372,0.8873158750514607,-0.07228796058898049,-0.015748524690601333,-0.08401878931807318,0,2,0.13106811437186094,Medium,,,Green,
ACG,2021,0.05070759300249229,-0.3585059914764208,1.1174421917468564,-1.0964557656238636,-0.2006217766252606,0.8616687168720459,-0.24569661841300017,-0.06857746183236327,-0.08538748898268758,0,2,0.13702085424648638,Medium,Medium,0.13106811437186094,Green,0.00595273987462544
ACG,2022,-0.09935006752716405,-0.14901426483077135,0.6935428910376977,-0.7636647465101369,-0.5973459045823818,0.8566402813980313,-0.13868810965048714,-0.09720640808183934,-0.06787642423053057,0,2,0.13754535917212257,Medium,Medium,0.13702085424648638,Green,0.0005245049256361878
ACG,2023,-0.02456935680232381,-0.45240171247316713,1.052507601149738,-0.9308247185469681,-0.3253778150776881,0.8266371379344897,-0.17230431863625373,-0.09054349574564671,-0.09009679109631416,0,2,0.11608234894616873,Medium,Medium,0.13754535917212257,Yellow,-0.021463010225953844
ACG,2024,-0.07541734590525148,-0.32779074104496075,0.8768841799525656,-0.8413348937113103,-0.559436405253246,0.8523806239867484,-0.16838828685374535,-0.06857746183236327,-0.0784388493260094,0,2,0.10553364023399521,Medium,Medium,0.11608234894616873,Green,-0.010548708712173518
ACL,2020,-0.32764036369852606,-0.43987867476060344,-0.012059612605106542,0.5041851976863573,-0.002607970625784107,0.9155259648638593,-0.36272256288171395,-0.007160049399515789,0.024789980145905884,6,1,0.029611966250497973,Medium,,,Green,
ACL,2021,-0.25459286560513494,-0.29883923085747455,0.15967638566786382,0.2362986509847625,-0.0835769009966026,0.892489744030376,-0.0554636439588399,-0.06857746183236327,-0.08538748898268758,6,1,0.03467696440044945,Medium,Medium,0.029611966250497973,Green,0.005064998149951476
ACL,2022,-0.23658135327104204,-0.41482598952467986,0.4877041002414416,-0.03512925097480966,-0.3082998334214987,0.8901935512231228,-0.16666518483435425,-0.10135548072608945,-0.03786010214059563,0,2,0.10107335446901325,Medium,Medium,0.03467696440044945,Green,0.0663963900685638
ACL,2023,-0.26175690996221707,-0.4197287073202168,0.20576430982570704,0.42568447836376455,-0.054456622070845624,0.8712955328941401,-0.216100678593644,-0.0949187644827372,-0.05180880602938478,6,1,0.008823085022136265,Medium,Medium,0.10107335446901325,Red,-0.09225026944687699
ACL,2024,-0.2449761997034472,-0.35519106087683505,0.28919466934945437,0.2936629109399993,-0.0977765560576901,0.8874087959617681,0.17288748634894133,-0.06857746183236327,-0.06645644810179785,6,1,0.006025473627503783,Medium,Medium,0.008823085022136265,Green,-0.0027976113946324814
ADG,2020,-0.24033273837627492,-0.36048281734800913,0.34313416273699704,-0.07052019541685152,-0.2624791980665788,0.8807264110554154,0.11372872578947898,0.014949216857347267,-0.12921093731624292,0,2,0.08744929285400363,Medium,,,Green,
ADG,2021,-0.1435660842222399,-0.38478822530188717,0.8432331853916507,-0.32336464542522664,-0.1457372857112872,0.8440552675780364,0.46419687993858005,-0.06857746183236327,-0.08538748898268758,0,2,0.06612588268175018,Medium,Medium,0.08744929285400363,Yellow,-0.02132341017225345
ADG,2022,0.01641438260080224,0.08743985792952491,0.6447129289444536,-1.116185589781897,-0.6955547546864258,0.7537103463203666,0.3071299524192526,-0.09594266042161433,-0.08896527288589305,0,2,0.09813632483674145,Medium,Medium,0.06612588268175018,Green,0.03201044215499127
ADG,2023,-0.09763293831166893,-0.09185394232250056,0.4554520799397722,-0.99277588765809,-0.3327243279043456,0.7576501037210039,0.06692912615699596,-0.09628739304951775,-0.10686893256421759,0,2,0.0540034025648224,Medium,Medium,0.09813632483674145,Yellow,-0.04413292227191905
ADG,2024,-0.15843711470833757,-0.006871424723493769,0.03497088582491695,-1.018589341984354,-0.6042331177201883,0.7654251251910561,0.06137508032717221,-0.06857746183236327,-0.08746703911361806,0,2,0.045485363847477686,Medium,Medium,0.0540034025648224,Green,-0.008518038717344717
ADP,2020,0.5714812592787253,-0.15506016628519426,1.702116466170033,-1.370196319412759,-0.5646069279933904,0.9155259648638593,0.8900972408878447,-0.027755618589489734,-0.10652303446772243,0,2,0.1369795843422274,Medium,,,Green,
ADP,2021,0.46915108962919205,-0.22688947953179966,1.8604431127523446,-1.4975652105379835,-0.22093255253813085,0.892489744030376,0.41137094331618773,-0.06857746183236327,-0.08538748898268758,0,2,0.11958180881706151,Medium,Medium,0.1369795843422274,Green,-0.017397775525165887
ADP,2022,0.14749842810450478,-0.31906836617054013,1.5683110106221232,-0.991050270512436,-0.6629550464046039,0.8901935512231228,0.6047662287255491,-0.10148319768855552,-0.08092686665241408,0,2,0.06817638254596982,Medium,Medium,0.11958180881706151,Red,-0.051405426271091695
ADP,2023,0.052429646175665805,-0.25840465291907405,1.615164956821201,-0.9187397208604695,-0.32391366390123066,0.8712955328941401,0.5145886131053673,-0.0984352957575642,-0.09354471383741718,0,2,0.11416635202566823,Medium,Medium,0.06817638254596982,Green,0.04598996947969841
ADP,2024,0.06474711445173847,-0.318306501612102,1.6445290016317466,-0.9562764229022621,-0.5890169546727795,0.8874087959617681,1.4264893449817064,-0.06857746183236327,-0.08142477593022597,0,2,0.10385585331990646,Medium,Medium,0.11416635202566823,Green,-0.01031049870576177
ADS,2020,-0.3976344610664786,-0.4561164796451266,-0.4977082790728065,1.3987982053753836,0.9479718612483552,0.6385508670294918,-0.19557040670874942,0.0231656491178305,-0.0760536203811339,6,1,0.018254089366317748,Medium,,,Green,
ADS,2021,-0.31627277639244317,-0.34188135021027316,-0.39833299480871515,1.1639254288865473,0.12635226346117992,0.6096193082965427,-0.1332972008017803,-0.06857746183236327,-0.08538748898268758,6,1,0.0664086022094252,Medium,Medium,0.018254089366317748,Green,0.04815451284310745
ADS,2022,-0.36642089853052545,-0.43939453148436297,-0.5069842951993612,1.1342832619312466,0.7940194209160755,0.45838026889263,-0.17750152989134646,-0.07575805552177661,-0.07195249016284258,6,1,0.044278135449034986,Medium,Medium,0.0664086022094252,Yellow,-0.02213046676039021
ADS,2023,-0.29865551678007063,-0.3821299510615746,-0.2771035167538978,0.8346539737888563,0.11386943720816124,0.5865426088166745,-0.19839650812159473,-0.07823002812014392,-0.08930167520909645,6,1,0.04567412855451106,Medium,Medium,0.044278135449034986,Green,0.0013959931054760774
ADS,2024,-0.30160549413564014,-0.2714948893582787,-0.45354980987230215,0.8116521679568177,0.3259019884034377,0.7948543412934372,-0.24899508915249993,-0.06857746183236327,-0.07502528645998362,6,1,0.034407017389859545,Medium,Medium,0.04567412855451106,Green,-0.011267111164651518
AGG,2020,-0.11561078766138835,-0.3408858231167792,1.161652111634447,1.359689465615537,0.8748889818036009,-0.6859273438329108,-0.7871546180293121,0.0948277150661295,0.3633140941315993,6,4,0.25361390083651786,Medium,,,Green,
AGG,2021,-0.19634379735594787,-0.3779719437233166,0.7029369248987404,1.5595976612332818,0.3300772393647492,-0.6138910712851615,-0.8195621602481348,-0.06857746183236327,-0.08538748898268758,6,4,0.2328995588262086,Medium,Medium,0.25361390083651786,Yellow,-0.02071434201030925
AGG,2022,-0.31945257362876694,-0.3293789683339454,-0.07014902322332188,1.388943003113857,1.3379893706378128,-0.26921520638477864,-0.37536443336340997,-0.06856048354147294,-0.05011804087660417,6,4,0.015601884025491336,Medium,Medium,0.2328995588262086,Red,-0.21729767480071727
AGG,2023,-0.26006418410263965,-0.3252821441012707,0.291618651278999,1.0945135257654672,0.27175986529637974,0.16369768519765016,-0.4405504519893744,-0.0388826138325123,-0.07787655089973833,6,4,0.11831881588011657,Medium,Medium,0.015601884025491336,Green,0.10271693185462523
AGG,2024,-0.2204447133975936,-0.37763404930827055,0.45939807227123375,0.4667962699000862,0.019170383994203677,0.1815322921664496,-0.6021207216116405,-0.06857746183236327,-0.071993792564154,6,4,0.13640854458470417,Medium,Medium,0.11831881588011657,Green,0.018089728704587596
AGM,2020,-0.17430231987863445,-0.04588945443946786,0.6168623530250256,-0.2548056122551178,-0.32274454747644643,0.8649829882844249,1.8045831415607534,-0.033069119207336906,-0.11294946016593899,2,2,0.012627707844765499,High,,,Green,
AGM,2021,-0.3105599337665742,-0.19851535023284597,-0.4337975906128445,1.3302924984240843,0.19650979101417626,-0.08305316544938199,1.3672767180806213,-0.06857746183236327,-0.08538748898268758,6,1,0.011392174165112208,Medium,High,0.012627707844765499,Green,-0.0012355336796532907
AGM,2022,-0.4638875909370173,-0.4794233699384036,-1.7708995552557742,1.6676797506113186,2.3087609703666225,0.059780627442216225,1.0865080003771808,-0.10038948803623572,-0.08670128782064973,6,1,-0.06792799016280927,Medium,Medium,0.011392174165112208,Red,-0.07932016432792148
